Variables in Fontenla Model 1001
Height, cm        Temperature, K    Electron density  Proton density    Hydrogen density  Electron pressure 
1.58e+08          6.34e+03          7.64e+10          7.61e+10          1.09e+12          1.34e-01          
1.46e+08          6.31e+03          8.40e+10          8.36e+10          2.07e+12          1.46e-01          
1.34e+08          6.28e+03          9.31e+10          9.24e+10          3.82e+12          1.61e-01          
1.24e+08          6.18e+03          1.00e+11          9.93e+10          6.52e+12          1.71e-01          
1.15e+08          6.16e+03          1.19e+11          1.17e+11          1.04e+13          2.02e-01          
1.06e+08          6.06e+03          1.27e+11          1.25e+11          1.65e+13          2.13e-01          
1.00e+08          5.93e+03          1.22e+11          1.18e+11          2.37e+13          2.00e-01          
9.60e+07          5.70e+03          9.42e+10          8.95e+10          3.07e+13          1.48e-01          
9.30e+07          5.26e+03          6.23e+10          5.64e+10          3.95e+13          9.05e-02          
9.10e+07          4.90e+03          5.20e+10          4.48e+10          4.81e+13          7.04e-02          
8.85e+07          4.46e+03          4.67e+10          3.71e+10          6.25e+13          5.75e-02          
8.70e+07          4.16e+03          4.51e+10          3.29e+10          7.49e+13          5.18e-02          
8.60e+07          4.03e+03          4.41e+10          3.03e+10          8.37e+13          4.90e-02          
8.50e+07          3.94e+03          4.34e+10          2.78e+10          9.31e+13          4.72e-02          
8.30e+07          3.84e+03          4.23e+10          2.38e+10          1.14e+14          4.48e-02          
8.00e+07          3.79e+03          4.14e+10          1.88e+10          1.54e+14          4.33e-02
